Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change,Next_Days_Change
FB,-0.000387611,32107.18841,2215396,221.95,-0.025456184,227.9869,232.58206,235.23581,-0.046410123,-0.06161636,-0.026205406,0.023902326
FB,0.0002762,15691.02899,1082681,215,0.023902326,211.47825,212.90944,225.289445,0.036011741,0.029553598,-0.026258687,0.031358408
FB,0.000475151,17154.1194,1149326,219.08,0.031358408,220.1317,219.61698,218.24999,0.026086883,0.023062971,0.002822635,0.022204001
FB,0.000274455,16517.52239,1106674,231.715,0.022204001,229.05455,226.74952,219.937435,0.037394804,0.042953476,0.032859868,-0.005238501
FB,-2.70E-05,12322.74242,813301,234.8,-0.005238501,237.7484,237.5807,229.288875,-0.014565398,-0.011524505,0.019157493,0.016419805
FB,0.000343741,7880.242424,520096,236.3,0.016419805,234.513,234.7669,234.3896,0.019527702,0.018120953,0.010795765,-0.013591518
FB,-9.77E-05,9750.238806,653266,244.27,-0.013591518,241.92205,240.06972,237.461645,0.002465464,0.016186464,0.010761022,0.013270103
FB,0.000191981,9416.075758,621461,240.39,0.013270103,240.27825,241.5923,240.581025,0.015469565,0.004849906,0.006488999,0.003242755
FB,1.87E-05,5891.666667,388850,243.62,0.003242755,244.207,243.941,242.60108,-0.000593759,-0.003767796,-0.001203045,0.015332974
FB,0.000119397,9299.909091,613794,241.31,0.015332974,241.9672,242.81408,242.131315,0.010577053,0.001029677,0.00318319,-0.033269289
FB,-0.000526164,9702.80303,640385,247.225,-0.033269289,247.23275,244.98,243.252065,-0.020958995,0.002044657,0.004204199,0.018915243
FB,0.000103801,6156.424242,406324,235.26,0.018915243,236.748,241.4256,243.765045,0.004710705,-0.016721093,-0.006897318,-0.013482731
FB,-0.000156337,5769.878788,380812,243.645,-0.013482731,242.3291,239.80204,242.05948,-0.009052153,0.000463132,-0.00975504,0.008545929
FB,0.000180136,6701.880597,449026,237.54,0.008545929,237.86,239.2735,238.97128,0.011863071,0.002810591,0.002468623,0.014757363
FB,0.000149814,16561.18182,1093038,238.525,0.014757363,239.70475,240.1804,239.680885,0.013936937,0.006712454,0.00130461,0.009108292
FB,0.000106693,5234.530303,345479,243.185,0.009108292,240.99925,241.8149,240.00955,0.013822657,0.007052088,0.006434952,-0.012877528
FB,-0.000141362,4409.242857,308647,243.525,-0.012877528,244.92455,244.16832,242.02093,-0.013009517,-0.007474516,0.003330476,-0.001042014
FB,4.19E-05,5311.119403,355845,239.92,-0.001042014,240.5457,241.71968,242.7092,-0.006200277,-0.010695943,-0.004420455,-0.032530471
FB,-0.000383304,7200.363636,475224,240.39,-0.032530471,240.2935,239.38408,241.482115,-0.031252406,-0.01979363,-0.010512083,0.004395891
FB,-3.78E-05,5155.69697,340276,229.76,0.004395891,229.62875,231.7421,237.71486,0.005067963,-0.004637914,-0.013183715,0.003264885
FB,5.68E-05,3580.5,236313,232.78,0.003264885,232.67925,231.5061,232.0494,0.006217787,0.007678761,-0.001647839,-0.015564868
FB,-0.000165276,4222.672131,257583,233.86,-0.015564868,234.126,233.28378,231.66702,-0.007892118,-6.21E-05,0.003691095,-0.000342833
FB,-8.03E-05,4594.30303,303224,233.35,-0.000342833,232.04595,232.69788,232.669845,0.00309874,-0.002873168,0.000675528,0.084881903
FB,0.001048555,9638.578947,732532,230.32,0.084881903,231.285,231.9074,232.749225,0.047131677,0.022955024,0.002824198,0.007884023
FB,0.000134847,21251.51515,1402600,251.775,0.007884023,252.0932,246.86802,235.984055,0.00263712,0.023472785,0.028587991,-0.00015885
FB,-1.97E-05,10415.45455,687420,251.81,-0.00015885,252.3385,252.4678,244.579665,0.001838007,0.003672231,0.027371266,-0.008178822
FB,-0.000136575,5183.363636,342102,251.87,-0.008178822,251.71695,252.4369,252.52254,-0.011841475,-0.013086756,-0.003537249,-0.008553129
FB,-0.000129068,3701.378788,244291,251.37,-0.008553129,250.3724,249.60936,251.489195,-0.003515364,0.001944959,-0.003425754,0.047889883
FB,0.000646953,25896.19697,1709149,253.185,0.047889883,250.34875,250.26404,250.453405,0.060539547,0.05489722,0.014134006,-0.022280472
FB,-0.000330346,34580.10606,2282287,274.68,-0.022280472,268.4802,266.41518,255.896855,-0.004670549,0.012463629,0.02650691,-0.010656324
FB,-0.000179653,11262.13636,743301,265.57,-0.010656324,268.1666,268.41402,264.263965,-0.020107277,-0.019711787,0.009991582,-0.024125521
FB,-0.00037487,13333.25373,893328,262.585,-0.024125521,260.8776,262.08254,266.60654,-0.0075614,-0.000211536,-0.009038675,-0.008641575
FB,-0.000126151,21614.13636,1426533,262.105,-0.008641575,260.1605,261.0733,263.474125,0.002402363,-0.000688312,-0.005895683,-0.009288395
FB,-0.000186933,5692.424242,375700,263.77,-0.009288395,262.33825,261.5388,261.909615,-0.00634105,-0.000276364,-0.001153776,0.007739819
FB,8.67E-06,17568.40909,1159515,259.05,0.007739819,260.81675,260.90012,261.356655,0.000198415,-0.000583442,-0.000447951,-0.001643354
FB,-2.11E-05,6575.045455,433953,261.66,-0.001643354,261.8433,261.39472,261.364385,-0.001667219,-0.002059797,-0.001885662,0.009597225
FB,0.000159773,7394.522388,495433,259.45,0.009597225,260.882,260.95,260.77631,0.007250404,0.003530178,0.001497394,-0.005754742
FB,-0.000126004,9249.424242,610462,264.13,-0.005754742,262.72775,262.408,261.297495,0.002182868,0.009624707,0.00534167,0.016508632
FB,0.000197876,17946.45455,1184466,264.71,0.016508632,264.0445,264.4378,262.97221,0.015232281,0.009949788,0.007438486,-0.00595637
FB,-0.000170891,5364.606061,354064,268.62,-0.00595637,268.0658,267.69392,265.47718,-0.003036754,-0.001362825,0.004248576,-0.00535171
FB,-0.000193131,17168.16667,1133099,272.81,-0.00535171,272.47925,269.3687,267.26578,-0.008819938,0.002924987,0.0064289,0.025269573
FB,0.000300551,63279.66667,4176458,274.045,0.025269573,272.9335,271.1741,269.523405,0.032616004,0.034506983,0.01404967,0.047642561
FB,0.000488059,56105.64789,3983501,291.63,0.047642561,287.18575,283.9608,275.536295,0.052030611,0.054326794,0.035424625,-0.021442625
FB,-0.000375935,14172.10606,935359,299.87,-0.021442625,299.0502,300.60836,288.207985,-0.014732309,-0.019833381,0.02113472,-0.00197118
FB,-3.38E-06,6670.757576,440270,294.24,-0.00197118,294.17925,294.2262,295.199455,-0.006120418,-0.005670467,0.001786843,-0.001941483
FB,-4.65E-05,9466.742424,624805,293.59,-0.001941483,294.2916,293.04044,295.256265,0.002137846,0.004488664,-0.00546068,-0.014575898
FB,-0.000274537,4942.924242,326233,299.81,-0.014575898,295.9486,295.23824,293.851375,0.001270153,0.00508762,0.003491136,0.018126787
FB,0.000262495,26843.28788,1771657,297.35,0.018126787,296.85875,296.9007,295.23745,0.01732558,0.011150866,0.006694984,-0.003215104
FB,4.87E-05,37251.90909,2458626,292.37,-0.003215104,295.3091,299.04654,297.301395,-0.024008234,-0.034189795,-0.008267317,0.020358806
FB,0.000312699,8914.848485,588380,277.03,0.020358806,283.6732,286.74066,293.460925,0.001544207,-0.017379398,-0.018522756,-0.025260351
FB,-0.000315842,12308.81818,812382,277.51,-0.025260351,284.11125,281.75728,288.022495,-0.04259863,-0.028425104,-0.025255527,-0.008695463
FB,-0.000304699,6321.893939,417245,276.121,-0.008695463,273.31515,273.36946,279.49065,0.003364614,0.006659266,-0.010766067,-0.037230812
FB,-0.000609895,8185.106061,540217,278.291,-0.037230812,275.49175,275.3647,276.34916,-0.023943548,-0.011939657,-0.007825282,-0.010054539
FB,-7.48E-05,15788.78788,1042060,269.53,-0.010054539,269.00935,270.23764,273.69081,-0.009788136,-0.016615894,-0.008923993,-0.037406845
FB,-0.000520102,7000.212121,462014,276.42,-0.037406845,272.1655,268.136,270.969815,-0.01746272,0.003928603,-0.005569107,-0.002051357
FB,9.66E-06,5910.818182,390114,272.99,-0.002051357,271.65875,269.4874,269.32551,0.001045429,0.01226959,0.005094542,-0.019459741
FB,-0.000252942,9772.939394,645014,268.76,-0.019459741,269.14405,270.99162,271.14463,-0.018285933,-0.020628756,-0.006435588,-0.011675265
