Symbol,Five Minute Change,Average Volume,Total Volume,Days Open,Days Change,20MA Open,50MA Open,200MA Open,20MA Change,50MA Change,200MA Change,Next Days Change
FB,0.00,11203.1791,750613,332.11,-0.01,328.805,325.563,320.3204,0.00,0.01,0.02,-0.01
FB,0.00,11000.56716,737038,330.4,-0.01,329.509,329.3095,326.5334,-0.01,-0.01,0.00,0.01
FB,0.00,6906.090909,455802,328.33,0.01,327.63725,326.7496,328.27895,0.01,0.01,0.00,0.00
FB,0.00,8721.19697,575599,335.66,0.00,334.192,331.2359,328.98755,0.00,0.01,0.01,0.00
FB,0.00,8262.80303,545345,340.59,0.00,339.10575,336.5292,331.632225,0.01,0.02,0.02,-0.02
FB,0.00,8089.846154,631008,344.67,-0.02,341.60975,342.9712,336.8758,0.00,-0.01,0.01,-0.01
FB,0.00,8128.448718,634019,339.87,-0.01,340.333,340.9828,340.375,-0.01,-0.01,0.00,-0.01
FB,0.00,12357.41026,963878,332.23,-0.01,335.51125,335.7616,339.397225,-0.03,-0.02,-0.01,-0.01
FB,0.00,5458.948718,425798,329.82,-0.01,327.31225,328.747,334.590375,0.00,0.00,-0.01,0.03
FB,0.00,8371.820513,653002,329.94,0.03,328.62925,329.1431,330.97985,0.03,0.03,0.01,0.01
FB,0.00,9161.538462,714600,344.55,0.01,339.8735,339.6913,332.8877,0.02,0.03,0.02,0.00
FB,0.00,6318.012821,492805,343.56,0.00,347.70425,348.4004,340.57315,-0.01,-0.01,0.01,-0.01
FB,0.00,6048.717949,471800,343.91,-0.01,344.548,343.9756,344.8548,-0.01,-0.01,0.00,0.00
FB,0.00,5765.341772,455462,339.32,0.00,341.41675,341.846,344.0575,-0.01,-0.01,-0.01,0.01
FB,0.00,8931.128205,696628,342.2,0.01,338.7625,339.2185,341.2002,0.02,0.02,0.00,-0.02
FB,0.00,9669.435897,754216,349.23,-0.02,346.1525,347.6447,342.878975,0.00,-0.01,0.01,0.00
FB,0.00,5832.217949,454913,338.71,0.00,344.3815,344.2148,344.9348,-0.02,-0.02,-0.01,0.02
FB,0.00,4288.769231,334524,336.105,0.02,337.15325,336.5269,342.525725,0.01,0.01,-0.01,-0.01
FB,0.00,7384.357143,310143,335.7,-0.01,340.48225,340.3016,339.515575,-0.02,-0.01,-0.01,0.00
FB,0.00,5708.769231,445284,336.86,0.00,334.52075,335.2837,337.313075,0.02,0.01,0.00,-0.03
FB,0.00,6805.653846,530841,335.18,-0.03,338.8015,338.9361,337.963075,-0.04,-0.04,-0.01,-0.06
FB,0.00,16382.26923,1277817,330.375,-0.06,326.5505,326.9049,333.65295,-0.04,-0.03,-0.02,0.00
FB,0.00,12016.9359,937321,311.16,0.00,313.853,316.4972,327.311275,-0.01,-0.02,-0.03,-0.02
FB,0.00,12502.98718,975233,313.62,-0.02,310.56,310.068,317.470625,-0.02,-0.02,-0.03,0.03
FB,0.00,9388.371795,732293,308,0.03,304.6055,304.1293,309.236275,0.04,0.04,0.00,0.00
FB,0.00,8206.538462,640110,321.655,0.00,318.0095,316.9614,310.2058,0.02,0.02,0.02,0.02
FB,0.00,6468.166667,504517,324.82,0.02,323.215,323.7186,316.5223,0.03,0.02,0.03,0.00
FB,0.00,7269.807692,567045,329.3,0.00,331.3735,331.2886,325.16005,0.00,0.00,0.01,-0.01
FB,0.00,4438.75641,346223,332.61,-0.01,330.8515,332.061,329.950225,-0.01,-0.01,0.00,0.01
FB,0.00,8963.307692,699138,330.95,0.01,328.263,328.5591,330.89095,0.02,0.02,0.00,0.02
FB,0.00,6329.974359,493738,328.035,0.02,336.2105,335.0857,332.30085,0.00,-0.01,0.00,0.03
FB,0.00,9262.653846,722487,332.76,0.03,334.27475,332.9991,332.7241,0.01,0.00,0.00,-0.01
