Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change,Next_Days_Change
AAPL,2.88E-05,63146.16883,4862255,128.23,0.008804492,127.1918,254.07276,440.207865,0.018288915,-0.488284065,-0.322112782,0.020112283
AAPL,0.000182071,39004.59211,2964349,131.81,0.020112283,131.44265,131.11136,201.90846,0.021055951,0.022664093,-0.348868987,-0.00536674
AAPL,-4.86E-05,40422.88158,3072139,132.11,-0.00536674,134.29905,135.54698,132.85144,-0.021869477,-0.033246628,0.000591939,-0.035768102
AAPL,-0.000489483,61970.54545,4771732,126.09,-0.035768102,127.0312,129.1752,132.21639,-0.048616403,-0.056354625,-0.036433002,0.054335412
AAPL,0.000936438,91516.3662,6497662,113.83,0.054335412,118.07545,118.28506,123.936445,0.026373391,0.011112477,-0.031810336,-0.037350013
AAPL,-0.000465379,57603.16438,4205031,117.51,-0.037350013,121.1885,119.6885,119.945335,-0.064999979,-0.041012294,-0.021840491,-0.005559806
AAPL,-0.000157099,58817.73239,4176059,117.63,-0.005559806,116.49345,115.07172,116.6295,0.009371772,0.024172751,0.000668656,-0.03862055
AAPL,-0.000532394,42982,3094704,118.279,-0.03862055,119.01755,118.19648,116.60506,-0.046311657,-0.029066179,0.001430813,-0.006375809
AAPL,9.81E-06,42266.84058,2916412,112.77,-0.006375809,113.46845,113.86946,116.302255,-0.015146501,-0.022120593,-0.017998361,0.005303425
AAPL,3.38E-05,35792.53425,2612855,115.02,0.005303425,114.61785,113.55472,113.444375,0.005012308,0.007935557,-0.001062768,-0.011812575
AAPL,-0.000164636,64249.05634,4561683,116.74,-0.011812575,117.79765,117.10732,114.154135,-0.024433,-0.009157241,0.013557547,-0.015683189
AAPL,-0.000299676,91051.48649,6737810,114.39,-0.015683189,114.77345,115.13594,115.837955,-0.019017029,-0.017648008,-0.00659296,0.000562823
AAPL,-3.66E-05,50523.87671,3688243,110.159,0.000562823,109.8416,110.38288,113.40732,0.000818451,-0.004790054,-0.016654745,-0.021839291
AAPL,-0.000394404,62746.88732,4455029,109.39,-0.021839291,110.14115,110.43224,110.83146,-0.024947079,-0.02940663,-0.014284392,0.042528954
AAPL,0.000544829,38376.66667,2993380,105.34,0.042528954,105.608,105.11582,108.05492,0.039120142,0.029474726,-0.009757399,0.001507795
AAPL,3.62E-05,40097.65714,2806836,111.421,0.001507795,111.6462,111.14082,107.75729,-0.001788686,-0.00276874,0.01512886,-0.034937692
AAPL,-0.00034815,36210.75,2607174,110.74,-0.034937692,111.0863,111.35526,110.364075,-0.033591001,-0.02679586,-0.000959234,0.003873174
AAPL,-2.79E-05,43686.77465,3101761,108.18,0.003873174,107.0655,106.50802,109.217215,0.011826872,0.023227734,-0.006775809,0.023207787
AAPL,0.000286288,50267.32394,3568980,109.92,0.023207787,109.0595,108.79214,108.196775,0.02820983,0.023925258,0.012149623,0.014145418
